Chemical,ChemicalID,PMID_List,length
"2, 4-diacetylphloroglucinol",C059817,"[10869066, 27208659]",2
"2, 4-dinitrophenol",D019297,[5485731],1
"2,2-diphenyl-1-picrylhydrazyl",C004931,"[24663118, 23615124, 28407906, 28219296]",4
"2,3,-butanedione",D003931,[15141066],1
"2,3-Dihydroxybenzoate",C009135,[22609919],1
"2,3-butanediol",C026978,[28425950],1
"2,3-dihydroxy-5-(hydroxymethyl) benzaldehyde",C553444,[20403429],1
"2,3-dihydroxybenzoate",C009135,[22609919],1
"2,3-dihydroxyisovaleric acid",C027749,[18001088],1
"2,4,6-trihydroxyacetophenone",C107067,[22698715],1
"2,4-DAPG",C059817,"[21360140, 16637170, 25000750, 14506862]",4
"2,4-diacetyl-phloroglucinol",C059817,[27002332],1
"2,4-diacetylphloroglucinol",C059817,"[28262092, 12422510, 26861677, 16637170, 11332728, 17088380, 16597964, 14506862, 29151161, 22101786, 21043573, 21392918, 22426436, 18396832]",14
"2,5-diketopiperazines",C010939,"[23065379, 28632186]",2
"2,6-DCPIP",D015086,[26588432],1
"2,6-dichlorophenolindophenol",D015086,[26588432],1
2-(3-Chlorobenzyloxy)-6-(piperazin-1-yl)pyrazine,C518685,[17344339],1
2-(4-hydroxyphenyl)-propionic acid,C000603635,[12747214],1
2-3-butanediol,C026978,[26035127],1
2-C-methyl-d-erythritol 4-phosphate,C114232,[20085309],1
2-Heptyl-4-hydroxyquinoline,C049991,[28708374],1
2-Heptyl-4-hydroxyquinoline N-oxide,C001333,[28708374],1
2-MIB,C005536,[19060161],1
2-Oxoglutarate,D007656,[20423905],1
2-Pyrrol formic acid,C000603975,[25675117],1
2-amino naphthalene,D015081,[25594688],1
"2-amino- 9, 13 -dimethyl heptadecanoic acid",C426842,[11302198],1
2-aminopurine,D015075,[21678902],1
2-butanol,C043958,"[19441818, 27757508]",2
2-butanone,C005222,[15141066],1
2-ethyl-1-hexanol,C034017,[19441818],1
2-heptyl-3-hydroxy-4-quinolone,C407944,[10500159],1
2-heptyl-4-hydroxyquinoline,C049991,[20738404],1
2-heptyl-4-hydroxyquinoline-N-oxide,C001333,[25239889],1
2-hydroxy-phenazine,C088013,[27974729],1
2-hydroxyaklavinone,C033382,[1367126],1
2-hydroxyethyl-phosphonate,C519566,[18544530],1
2-hydroxyethylphosphonate,C519566,[18544530],1
2-hydroxyphenazine,C088013,"[28893188, 22724439, 17334842]",3
2-hydroxyquinoxaline,C098565,[17295279],1
2-methyl-3-n-amyl-pyrrole,C037660,[16187093],1
2-methylbutyric acid,C019475,[16751541],1
2-methylisoborneol,C005536,"[19060161, 17489431]",2
2-oxoglutarate,D007656,"[20616047, 27919802]",2
2-phenylacetamide,C005293,[22548364],1
2-phenylethanol,D010626,[19441818],1
2-pyrrol formic acid,C000603975,[25675117],1
20-O-beta-D-glucopyranosyl-20(S)-protopanaxadiol,C112772,[9933987],1
21-hydroxyl-oligomycin A,C072367,[1770350],1
25-hydroxyvitamin D(3),D002112,[20731719],1
"3,3-diaminobenzidine",D015100,[28746900],1
"3,4',5-trihydroxystilbene",D000077185,[22332977],1
"3,4-Dibromopyrrole-2,5-dione",C000598672,[25646964],1
"3,4-dibromopyrrole-2,5-dione",C000598672,[25646964],1
"3,4-dihydroxyphenylacetic acid",D015102,[12747214],1
"3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide",C022616,"[29108108, 28169241, 27917206]",3
3-(hydroxyacetyl)-indole,C511572,[19842066],1
3-OH MAME,C000609565,[28722830],1
3-acetyl-DON,C043247,[15069674],1
3-amino-4-hydroxybenzoic acid,C110924,[11714229],1
3-amino-5-hydroxybenzoic acid,C031509,"[28044276, 18722414]",2
3-cyanopyridine,C020729,[26263697],1
3-epi-deoxynivalenol,C007262,[22098388],1
3-formylindole,C528934,[28355070],1
3-hydroxyanthranilate,D015095,[25892546],1
3-hydroxyanthranilic acid,D015095,[18722414],1
3-indolylmethylglucosinolate,C048308,[11402212],1
3-methylbutanal,C032251,[9246777],1
3-methylbutanoic acid,C008216,[24416282],1
3-methylcholanthrene,D008748,[1920539],1
3-nitro,D012406,[19577444],1
3-nitropropionic acid,C015392,"[23296917, 28117709]",2
3-oxo-C12-HSL,C109860,[11673439],1
3-oxo-ursolic acid,C412949,[18758096],1
3-phenylpropionic acid,C035253,[20479975],1
3H,D014316,[18782083],1
4-(3-Chloro-5-(trifluoromethyl)pyridin-2-yl)-N-(4-methoxypyridin-2-yl)piperazine-1-carbothioamide,C587731,[24450337],1
4-aminoimidazole,C098330,[26474119],1
4-azidophenylalanine,C027162,[26096082],1
4-chloro-2-methylphenol,C019292,[20392474],1
4-chloro-flavanone,C548298,[22039419],1
4-chlorobenzoate,C040768,[25970559],1
4-chlorobiphenyl,C006983,"[23250224, 25970559]",2
4-coumaric acid,C495469,[23206756],1
4-dimethylaminobenzaldehyde,C510241,[22653947],1
4-hydroxybenzoic acid,C038193,[25970745],1
4-hydroxycinnamic acid,C495469,[28391728],1
5'-methylthioadenosine,C008500,[25970745],1
"5,7-dihydroxyflavone",C043561,[14574103],1
5-AZA,D001374,[29084681],1
5-FU,D005472,[9933987],1
5-HT,D012701,[17344339],1
5-aminolevulinic acid,C000614854,[29164655],1
5-azacytidine,D001374,[29084681],1
5-hydroxydecanoic acid,C052853,[28425950],1
6-dEB,C034277,[26431970],1
6-deoxyerythronolide B,C034277,[26431970],1
6-deoxyglucose,C037904,[16313990],1
"7,8-dihydroxyflavone",C485383,[29043664],1
"7-Chloro-4,6-dimethoxy-1(3H)-isobenzofuranone",C090286,[7945669],1
"7-chloro-4,6-dimethoxy-1(3H)-isobenzofuranone",C090286,[7945669],1
7-chlorotryptophan,C037586,[19884772],1
7-cyano-7-deazaguanine,C000624711,[27937735],1
7-deazapurine,C512929,[27937735],1
7-hydroxy-3-methoxyviridicatin,C000618257,[27498615],1
7-methyl-juglone,C517013,[23264234],1
8-O-methyltetrangomycin,C059960,[23274989],1
8-amino-flaviolin,C576768,[28205416],1
8-methyl decanoic acid,C553445,[20403429],1
AAAs,D024322,[23349065],1
ABTS,C002502,"[23274989, 28219296, 27562017, 27486691, 24206732, 25863020, 27272544]",7
ACT,C013390,[26369755],1
ADP,D000244,"[21060211, 22940582]",2
AFB1,D016604,[1920539],1
AIT,C004471,[23566822],1
AITC,C004471,[25362058],1
AJI9561,C423665,[25892546],1
AMP,D000249,"[9477250, 22655051]",2
AMPPNP,D000266,[22101842],1
ANTX-a,C509783,[25937338],1
AP-3,C015682,[28782796],1
APP,C507379,[12234354],1
AQ,D000880,[17722122],1
AQs,D000880,[17722122],1
ASA,D001205,[28035958],1
AST,C052064,[25775804],1
ATP,D000255,"[28320949, 28383816, 1807199, 20512647, 25819962, 10943372, 22112266, 14595781, 16751541, 23924726, 9477250, 19010510, 21821936, 22940582, 19354300]",15
Ac,D000186,[28421168],1
AcAc,C008790,[29117587],1
Acarbose,D020909,[28917933],1
Acetate,D000085,"[28432098, 22871941]",2
Acetone,D000096,[25489722],1
Actinomycin,D003609,[28647504],1
Actinomycin D,D003609,[24948949],1
Actinomycins,D003609,[21245311],1
Actinorhodin,C013390,[1367312],1
Aculeximycin,C039610,[25301375],1
Adenosine,D000241,[28383816],1
Agar,D000362,"[28365325, 28592323]",2
Agelasine D,C509934,[20061160],1
Alamar blue,C005843,[24070833],1
Alanine,D000409,[27382776],1
Alaphosphin,C006437,[525987],1
Albidopyrone,C544382,[19132055],1
Aldehydes,D000447,[16305145],1
Alkaloid,D000470,[26299672],1
Alkaloids,D000470,[27548127],1
Allyl isothiocyanate,C004471,[23566822],1
Altenusin,C095643,[19835393],1
Althiomycin,C010018,[15659197],1
Ambuic acid,C429363,[19015326],1
Amhezole,C000618351,[28083890],1
Amide,D000577,[27311327],1
Amides,D000577,[26263697],1
Aminoglycoside,D000617,[549988],1
Aminoglycosides,D000617,[549988],1
Ammonia,D000641,"[16230654, 27471059]",2
Ampicillin,D000667,[26931616],1
Ansamitocin P-3,C015682,[28782796],1
Anthocyanins,D000872,[23924942],1
Antimycin,C032456,[24893324],1
Apiose,C004983,[28931093],1
Arg,D001120,"[1486236, 22825833, 26096082]",3
Aroclor-1254,D020111,[3306361],1
Arthroamide,C000605883,[26575343],1
Ascopyrone P,C507379,[12234354],1
Asiatic acid,C017032,[23132656],1
Asp,D001224,"[1486236, 16791590]",2
Atranorin,C026304,[23374132],1
Azadirachtin,C010329,[27251587],1
Azole,D001393,[27648556],1
BA,C480551,[16860349],1
BA,D001647,[22496825],1
BHA,D002083,[1920539],1
BHT,D002084,[27842527],1
BMAA,C001824,[28073457],1
BP,C038809,[21086131],1
Bacillaene,C096634,[25002419],1
Bacillibactin,C430721,[28438580],1
Bacitracin,D001414,[28438580],1
Benzoxazinoid,D048588,[26040909],1
Benzoxazinoids,D048588,[26040909],1
Berberine,D001599,[28784988],1
Bile Acid,D001647,[29080339],1
Bile acid,D001647,"[20837534, 7380334]",2
Bile acids,D001647,[27822648],1
Bis (2-ethylhexyl) phthalate,D004051,[28648623],1
Brevianamide F,C000590722,[26975378],1
Bryostatins,D054713,[11571152],1
Butyrate,D002087,"[22871941, 26272259]",2
Butyric acid,D020148,[24151782],1
C,D002244,"[26577929, 19577444, 11195098, 15069674, 21926225, 14962038, 1367126, 15765609, 21551311]",9
C1,C400149,"[25809238, 8485146]",2
C18,C109760,[20336498],1
C4,C058899,[11673439],1
C4-HSL,C092312,[11673439],1
CAG,C061014,[25775804],1
CDA,D017338,[21342466],1
CDH,C012843,[16230654],1
CDS,D002104,[21262282],1
CFA,C084266,"[25423263, 26991928]",2
CNAD,C012843,[23566822],1
CO(2),D002245,"[19554039, 6035263]",2
CO2,D002245,"[17205789, 10763748, 27918439, 12382680, 15617444, 1957296, 22571441, 9477250, 18043646]",9
COR,C058487,[25423263],1
CV,D005840,[22653947],1
CYN,C089595,[24275084],1
CYNs,C089595,[24275084],1
Ca2+,D000069285,"[21207111, 20518352, 18688611]",3
CaCl2,D002122,[25502821],1
Caffeic acid,C040048,[25765308],1
Caffeine,D002110,[26307771],1
Camalexin,C102405,[8989880],1
Car,C093704,[12519208],1
Car,D002264,[20056700],1
Carbohydrates,D002241,[27393306],1
Carbon,D002244,"[28770367, 22101842, 18043646]",3
Carolacton,C553423,"[20659313, 25902328, 27404808]",3
Carotenoid,D002338,[28255686],1
Casamino acid,C017721,[22586998],1
Cd,D002104,[17922765],1
Cephalosporin,D002511,[15719553],1
Chloramphenicol,D002701,[28293709],1
Chloroform,D002725,[25432345],1
Choline,D002794,[23457628],1
Citrinin,D002953,[18459968],1
Closthioamide,C549934,[25284750],1
CoA,D003065,[14595781],1
Colabomycin E,C000595731,[24838618],1
Colibactin,C569566,"[27419387, 27412582, 26390983]",3
Congo Red,D003224,[28705748],1
Copper,D003300,"[20372697, 21384090]",2
Copper sulphate,D019327,[29188775],1
Coprostanol,D004083,[8784740],1
Coronatine,C058487,[25423263],1
Coumarin,C030123,[28432098],1
Coumarins,D003374,"[28432098, 23644174, 27910758]",3
Cu,D003300,"[22985848, 22380795]",2
CuCl(2),C029892,[20106660],1
Curacin A,C095843,[27416557],1
Curcumin,D003474,[28835544],1
Cyanide,D003486,"[29259082, 10763748, 3073060, 19486283, 164997]",5
Cyclic Depsipeptide,D047630,[26575343],1
Cyclic Depsipeptides,D047630,[26287218],1
Cyclo,C468987,[22747978],1
Cystine,D003553,[26350134],1
D-Phe-D-ALa-Trp,C000590643,[24975930],1
D-alanyl-griseoluteic acid,C518060,[21849072],1
DA,D004298,[19806188],1
DAB,C000469,[28073457],1
DAB,D015100,[28746900],1
DAPG,C047743,"[16637170, 25000750]",2
DAPG,C059817,"[28262092, 26861677, 17088380, 29151161, 22101786, 21043573]",6
DAPI,C007293,[28592323],1
DDBs,C010098,[22098388],1
DFB,D004139,[21848068],1
DFO,D003676,[21848068],1
DFOA,D003676,[21848068],1
DHIV,C027749,[18001088],1
DKP,D054659,[28535606],1
DKPs,C010939,[23065379],1
DKPs,D054659,[22747978],1
DMS,C004784,"[17272727, 19220400, 10841973]",3
DMSO,D004121,"[28820614, 11132960]",2
DMSP,C068078,"[17272727, 16913924, 24848489, 19220400, 10841973]",5
DMSP,C073264,[18253713],1
DNBA,C026017,[22754340],1
DOM-1,C048238,[20576129],1
DON,C007262,"[20576129, 15069674, 22098388]",3
DPPH,C004931,"[24663118, 23993531, 25128676, 24689437, 18782083, 23615124, 28407906, 28219296, 17309298, 27192209, 27562017, 27486691, 24206732, 27842527, 25863020, 27272544]",16
DSA,C000469,[12422510],1
DXR,D004317,[20508927],1
Daptomycin,D017576,[22486967],1
Daunorubicin,D003630,"[8037572, 29043664, 23417448]",3
Deazaguanine,C010567,[27937735],1
Decursinol angelate,C101278,[20155945],1
Deferoxamine,D003676,[27618884],1
Deferoxamines,D003676,[21848068],1
Deoxycholic acid,D003840,[7380334],1
Deoxynivalenol,C007262,"[15069674, 18308354]",2
Desferal,D003676,"[21313893, 21848068]",2
Desferrioxamine B,D003676,"[21313893, 21848068]",2
Desferrioxamine E,C561576,[16151202],1
Deuterium,D003903,[26061478],1
Dicerandrol A,C436329,[20372017],1
Diketopiperazine,D054659,[28535606],1
Dimethyl sulfide,C004784,[17272727],1
Dimethylamine,C034516,[351383],1
Dimethylsulfoniopropionate,C068078,[24848489],1
Dox,D004317,[9246777],1
Doxorubicin,D004317,[20508927],1
EA,C007650,"[26864220, 23775636]",2
EB,C038315,[26431970],1
ECO-0501,C515838,[29164655],1
ECO-4601,C492422,[18722414],1
EDTA,D004492,"[22380795, 3541827]",2
ENPp,C082483,[27192209],1
ENs,C100264,"[21742008, 24751367]",2
EO,D009822,"[22416718, 27450433]",2
EOs,D009822,"[25594290, 26916832]",2
Echinomycin,D004448,[26593927],1
Eicosanoid,D015777,[2507445],1
Eicosanoids,D015777,[2507445],1
Elaiophylin,C033279,"[27757508, 2272919]",2
Enniatins,C100264,"[21742008, 24751367]",2
Epigallocatechin gallate,C045651,[22475000],1
Ery,D004917,[26564143],1
Erythromycin,D004917,[24341557],1
Essential Oil,D009822,[27450433],1
Essential oil,D009822,[27272544],1
Essential oils,D009822,"[25594290, 22416718, 25863020]",3
EtOH,D000431,[27272544],1
Ethanol,D000431,[16989307],1
Ethyl Acetate,C007650,[27033000],1
Ethyl acetate,C007650,"[24138171, 26538254, 29049321]",3
Ethylene,C036216,[3541827],1
Etimicin,C448680,[28754206],1
Eucerin,C039909,[23397946],1
FAD,D005182,[24779771],1
FD-891,C091118,[24131731],1
FK506,D016559,[28942849],1
FLAVONOIDS,D005419,[26638490],1
FMN,D005486,[17997835],1
FPP,C004808,[22425978],1
FR901464,C104486,[25097259],1
Farinamycin,C569083,[21939253],1
Fatty Acid,D005227,[28432098],1
Fatty acid,D005227,[11200428],1
Fe,D007501,"[26452553, 27523480]",2
Fe3S4,C111959,[25603340],1
Flavones,D047309,[28931063],1
Flavonoid,D005419,[25970559],1
Flavonoids,D005419,"[22580697, 20378050, 11772620, 22039419, 23397456, 26070141]",6
Funicones,C000594065,[19468317],1
Fusaric Acid,D005669,[26655755],1
Fusaric acid,D005669,"[15553244, 20814727, 26655755]",3
Fusarithioamide A,C000620294,[27634222],1
GABA,D005680,[23319638],1
GBLs,D015107,[23084934],1
GGPP,C002963,[26475187],1
GSL,D005961,[25362058],1
GSLs,D005961,[25362058],1
GT,C012332,[25525717],1
Gamma-butyrolactone,D015107,[23084934],1
Gentamicin,D005839,[27166532],1
Gentamicin B,C023804,[28754206],1
Geosmin,C001278,"[19010510, 19031897]",2
Ginsenosides,D036145,[15969025],1
GlcN6P,C001293,[17997835],1
GlcNAc,D000117,"[22068502, 26272095]",2
Gluconapin,C552436,[24029746],1
Gluconic acid,C030691,[24906569],1
Glucose,D005947,[8485146],1
Gly,D005998,[1486236],1
Glycerol,D005990,"[14962038, 12839737, 28365325, 22082189, 29188775]",5
Glycine betaine,D001622,[27005411],1
Glycogen,D006003,[9781871],1
Goadsporin,C449027,"[11858658, 28442735, 25036825]",3
Gossypol,D006072,[26850304],1
H(2)S,D003903,[22016433],1
H100,C027178,[22871941],1
H2,D003903,[24151782],1
H2 O2,D006861,[28921941],1
H2O2,D006861,"[28746900, 28454711, 25523369, 28219296]",4
H33342,C017807,[25646964],1
HCA,D003373,[26303982],1
HCN,D006856,"[25512025, 10763748, 10869066, 19486283, 11673439, 12732958]",6
HCl,D006851,[26039483],1
HEPES,D006531,[29259082],1
HP-beta-CD,D000073738,[24620603],1
HQNO,C001333,[28708374],1
HQO,C098565,[17295279],1
Hectochlorin,C454807,[18001088],1
Hexadecanoic acid ethyl-ester,C007680,[28699251],1
Hexadecanoic acid methyl-ester,C019012,[28699251],1
Hexane,D006586,"[27166532, 24193053, 15266809]",3
His,D006639,[16791590],1
Hoechst 33342,C017807,[25646964],1
Hofmannolin,C481033,[17457628],1
Homoserine lactones,C088386,[10943372],1
Hormaomycin,C510371,[21439483],1
Hormaomycins,C510371,[26287218],1
Hydrazine,C029424,[10656576],1
Hydrogen cyanide,D006856,"[19769587, 164997]",2
IAA,C030737,"[23349065, 26861677, 25412549, 25725457, 27884784, 28690133, 14506862, 24888481, 12732958]",9
IBME,C022245,[7142955],1
IF,D007529,[24869797],1
IGS,C048308,[11402212],1
IPTG,D007544,[22425978],1
Indole,C030374,[28164793],1
Indole acetic acid,C030737,[27974729],1
Indole-3-Acetic acid,C030737,[14506862],1
Inorganic phosphate,D010710,[164997],1
Iron,D007501,"[164997, 27480638]",2
Isatin,D007510,[24875126],1
Isepamicin,C016927,[28754206],1
Isoprene,C005059,"[29233013, 23840410]",2
Isoprenoid,D013729,[27422837],1
Isoprenoids,D013729,[27422837],1
Isovaleric acid,C008216,[11823198],1
Isovaleryl-coenzyme A,C017447,[16952943],1
Jasmonate,C011006,[11402212],1
Jasmonic acid,C011006,[27251587],1
K2HPO4,C013216,"[22082189, 21848068]",2
KCl,D011189,"[23264234, 18605256]",2
KMBA,C045636,[3541827],1
KS,D011188,"[17552225, 15870305]",2
Kojic acid,C011890,[24948950],1
L(-)-carnitine,D002331,[14595781],1
L-Isoleucine,D007532,[11823198],1
L-alanine,D000409,[4572893],1
L-amino acids,D000596,[22802156],1
L-lysine,D008239,[14962038],1
L-phenylalanine,D010649,[24595070],1
L-proline,D011392,"[24595070, 20152135]",2
L-rhamnose,D012210,[26323856],1
L-tryptophan,D014364,"[25412549, 21965577]",2
L-valine,D014633,"[14962038, 11823198, 7142955]",3
LCA,D008095,[28360029],1
LMB,C038753,[9464413],1
LP,D055666,[26246193],1
Lactic Acid,D019344,[27886374],1
Lactic acid,D019344,"[19919120, 29053003]",2
Lactose,D007785,[27515463],1
Largazole,C527895,[27416557],1
Leptomycin B,C038753,[9464413],1
Leucine,D007930,[27113590],1
Lignan,D017705,[24932777],1
Lincomycin,D008034,"[25819962, 29038257]",2
Lincomycin A,D008034,[29038257],1
Lipopeptide,D055666,[26246193],1
Lomofungin,C100203,[25502821],1
Luminal,D010634,[28360029],1
Luminmycin D,C587736,[23095088],1
Lyngbic acid,C000612874,[26495995],1
MC,C078588,"[25381232, 28283295]",2
MC,D008748,[1920539],1
MC,D052998,[25980449],1
MC-LR,C057862,[25381232],1
MCPA,D008456,[20392474],1
MCPP,C015068,[20392474],1
MCs,D052998,"[24275084, 29117587]",2
MK,D008148,[19754167],1
MK-7,C062629,[22753528],1
MOPS,C008550,[22252012],1
MTT,C070243,"[24136453, 23190550, 26861361, 28169241, 28592323, 27272544]",6
MVA,D008798,[20085309],1
Macrolide,D018942,[26564143],1
Macrolides,D018942,[25724963],1
Madurahydroxylactone,C465231,[10656576],1
Marizomib,C475865,[26577929],1
MeJA,C072239,[25523369],1
Menthol,D008610,[21843946],1
Methane,D008697,[27159387],1
Methanol,D000432,"[12918917, 22654215, 24206732, 15189291]",4
Methicillin,D008712,"[24138171, 26160390]",2
Methionine,D008715,[3541827],1
Methyl p-hydroxy benzoate,C015358,[19296377],1
Methylbenzene,D014050,[26905826],1
Methylmalonate,C005230,"[20470251, 17185221]",2
Mevinolin,D008148,[6400479],1
Mg,D008274,[22039990],1
MgCl2,D015636,[22586998],1
Michler's ketone,C014682,[22653947],1
Microcystin,C078588,[11764765],1
Microcystin-LR,C057862,[29240841],1
Microcystins,D052998,"[29240841, 24275084]",2
Mithramycin A,C066851,[29196786],1
MnCl2,C025340,[25502821],1
Mutanobactin A,C555906,[20852771],1
Mycolic acid,D009171,"[21097597, 25829201]",2
Mycothiol,C089265,[18629474],1
Myxochromide B3,C532935,[18803421],1
Myxovirescin,C035536,[15659197],1
N,D009584,"[26577929, 25059468, 8882807, 17205789, 21926225, 14962038, 22131950, 15617444, 20518352, 18043646]",10
N(2)O(,D009609,[17132268],1
N-(3-oxododecanoyl)-L-homoserine lactone,C109860,"[10500159, 8898383]",2
N-(3-oxododecanoyl)homoserine lactone,C109860,[11673439],1
N-(3-oxohexanoyl)-L-homoserine lactone,C030654,"[20056700, 9150595]",2
N-3-oxohexanoyl-l-homoserine lactone,C030654,[16291676],1
N-3-oxooctanoyl-l-homoserine lactone,C080518,[16291676],1
N-Ac-Leu-Aib-Pro-Aib-Leu-Aib-Pro-Ala-Aib-Pro-Val-red-Leu,C484925,[15043434],1
N-Acetyl-d-glucosamine,D000117,[28355070],1
N-Acetylcysteine,D000111,[8538208],1
N-Acetylglucosamine,D000117,[28355070],1
N-[phosphonomethyl] glycine,C010974,[17557843],1
N-acetyl-d-glucosamine,D000117,[28355070],1
N-acetylcysteine,D000111,[8538208],1
N-acetylglucosamine,D000117,"[22068502, 18511939, 26272095]",3
N-acetylneuraminic acid,D019158,[25290220],1
N-butanoyl-L-homoserine lactone,C092312,"[17334842, 8898383]",2
N-butyl-benzenesulfonamide,C065565,[19842066],1
N-butyryl-L-homoserine lactone,C092312,[10500159],1
N-hexanoyl-L-homoserine lactone,C104908,[17334842],1
N-methyl-N'-nitro-N-nitrosoguanidine,D008769,"[15644924, 7868391, 28782796]",3
N1-methyladenine,C008407,[25795127],1
N6-benzyladenine,C480551,[16860349],1
NAC,D000111,[8538208],1
NAD(+),D009243,[14595781],1
NAD+,D009243,[9477250],1
NADH,D009243,"[14595781, 25239889]",2
NADP,D009249,[26369755],1
NADPH,D009249,"[17344339, 18167457, 22112266, 9477250, 12324314]",5
NDGA,D009637,[22871941],1
NPEOs,C021754,[21128606],1
NTG,D005996,[12548930],1
NTG,D008769,[15644924],1
NaCl,D012965,"[20185187, 26792125, 5485731, 11823198, 24690912, 24684523, 26272259, 21551335, 21848068]",9
Nataxazole,C540755,[25892546],1
Neoantimycins,C002699,[28358337],1
Nicotinamide,D009536,[26263697],1
Nikkomycin X,C049372,[20096125],1
Nikkomycins,C011952,[20096125],1
Ningnanmycin,C000594254,[12548930],1
Nitrogen,D009584,"[28777571, 4911442]",2
Nocardamine,C033516,[27128202],1
Nordihydroguaiaretic acid,D009637,[22871941],1
O(6)-methylguanine,C008449,[25795127],1
O(6)meG,C008449,[25795127],1
O-acetylserine,C043943,[3073060],1
O-desmethylangolensin,C050052,[12747214],1
O2,D010100,"[7764965, 7765099, 9630706, 15104054, 22571441]",5
ODS,C024779,[29019198],1
OHL,C030654,[9150595],1
OTC,D010118,[22112266],1
Oligomycins,D009840,[20336498],1
Oligomycins A,C031004,[29158025],1
Oxachelin,C516693,[17191682],1
Oxygen,D010100,"[15066829, 19522562, 21520016, 6347279]",4
P,D010758,[15617444],1
PA,D011478,"[26369437, 16436433, 11673439]",3
PAA,C025136,[23349065],1
PAC,C016213,[29117587],1
PAH,D011084,[27037123],1
PAHs,D011084,"[29053003, 27037123]",2
PB,D007854,"[27974729, 3306361]",2
PB,D010634,[1920539],1
PCA,C037165,"[27974729, 28893188, 26369437, 22724439, 17037049, 15859340, 23708134, 17552230, 28871340]",9
PCB,D011078,"[24620603, 23250224, 22202970, 25970559, 20384372]",5
PCBs,D011078,"[27483244, 23250224, 12746520, 25970559, 20384372]",5
PCN,D011285,[16997957],1
PDC,C019040,"[26051670, 28871340]",2
PFS,C024823,[29117587],1
PGD2,D015230,[2507445],1
PGE(2),D015232,[24353343],1
PGE2,D015232,[2507445],1
PGF2 alpha,D015237,[2507445],1
PHE,C000598831,[12422510],1
PHPP,C025974,[24500481],1
PHZ,C000598831,[22262095],1
PO,C483658,[23160088],1
PQS,C407944,"[25239889, 21965577, 27480638, 17028277]",4
PRN,D011764,"[22262095, 18793314]",2
PUFA,D005231,[15958783],1
PVC,D011143,[27002332],1
PVD,C042453,[22380795],1
PYO,C042453,[12422510],1
Paclitaxel,D017239,[20628412],1
Pamamycin,C024500,[21897037],1
Pb,D007854,[25574657],1
Pch,C025316,[12423020],1
PdGs,C010307,[23517679],1
Pederin,C100127,[28557379],1
Phenazine,C000598831,"[15128573, 25532893, 26051670, 20705730]",4
"Phenazine 1,6-di-carboxylic acid",C019040,[26051670],1
Phenazine-1-carboxylic acid,C037165,[27974729],1
Phenazines,D010619,"[20008172, 19189039, 23457254, 21671613]",4
Phenol,D019800,"[21892353, 28699251]",2
Phenols,D010636,"[27918439, 26931616]",2
Phenylacetic acid,C025136,[18214603],1
Phenylnannolone A,C534965,[19040244],1
